玩具总动员3,8.7,182828,2010,美国,喜剧 动画 奇幻 冒险,跨度十五年的欢乐与泪水。
人工智能,8.6,179120,2001,美国,冒险 剧情 科幻,对爱的执着，可以超越一切。
我是山姆,8.8,94944,2001,美国,剧情 家庭,爱并不需要智商 。
浪潮,8.7,122304,2008,德国,剧情 惊悚,世界离独裁只有五天。
香水,8.4,259670,2006,德国 法国 西班牙 美国,剧情 犯罪 奇幻,一个单凭体香达到高潮的男人。
7号房的礼物,8.7,158171,2013,韩国,剧情 喜剧 家庭,《我是山姆》的《美丽人生》。
冰川时代,8.4,253949,2002,美国,喜剧 动画 冒险,松鼠才是角儿。
哈利·波特与死亡圣器(下),8.6,255819,2011,美国 英国,剧情 悬疑 奇幻 冒险,10年的完美句点。
花样年华,8.5,228191,2000,香港 法国,剧情 爱情,偷情本没有这样美。
撞车,8.6,165184,2004,美国 德国,犯罪 剧情,天使与魔鬼的冲撞。
追随,8.9,74344,1998,英国,犯罪 悬疑 惊悚,诺兰的牛逼来源于内心散发出的恐惧。
朗读者,8.5,265326,2008,美国 德国,剧情 爱情,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 
一次别离,8.7,123748,2011,伊朗 法国,剧情 家庭,只有有信仰的人才能说出事实真相。
罗生门,8.7,114333,1950,日本,犯罪 剧情 悬疑,人生的N种可能性。
荒蛮故事,8.7,117119,2014,阿根廷 西班牙,剧情 喜剧 犯罪,无
碧海蓝天,8.7,103868,1988,法国 美国 意大利,剧情 爱情,在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。
梦之安魂曲,8.7,104295,2000,美国,剧情,一场没有春天的噩梦。
秒速5厘米,8.4,272649,2007,日本,动画 剧情 爱情,青春就是放弃和怀念。
战争之王,8.5,164268,2005,美国 法国,剧情 犯罪,做一颗让别人需要你的棋子。
可可西里,8.6,120490,2004,中国大陆 香港,剧情 犯罪,坚硬的信仰。
心迷宫,8.6,141739,2014,中国大陆,剧情 犯罪 悬疑,无
时空恋旅人,8.6,179798,2013,英国,剧情 爱情 奇幻,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
唐伯虎点秋香,8.3,293617,1993,香港,喜剧 爱情 古装,华太师是黄霑，吴镇宇四大才子之一。
超能陆战队,8.6,339657,2014,美国,喜剧 动作 科幻 动画 冒险,无
地球上的星星,8.8,77001,2007,印度,剧情 儿童 家庭,天使保护事件始末。
蝙蝠侠：黑暗骑士崛起,8.5,274520,2012,美国 英国,剧情 动作 科幻 犯罪 惊悚,诺兰就是保证。
海盗电台,8.6,158424,2009,英国 德国 法国,剧情 喜剧 音乐,生命不止，摇滚不死。
小森林 冬春篇,8.9,98392,2015,日本,剧情,无
